TMDB_ID	Adult	Budget	Genre_ID	Genre_Name	IMDB_ID	Movie_Name	Language	Synopsis	Popularity	Production_Company_IDs	Production_Company_Names	Production_Country_Names	Release_Date	Running_Time	Vote_Count	Vote_Average	Revenue	Tagline	Director	Cast	Screenplay	DOP	Editor	Music_Composer	Assistant_Director
62211	false	200000000	16,10751,	Animation,Family,	tt1453405	Monsters University	en	A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.	21.341	3,2,	Pixar,Walt Disney Pictures,	US,US,	2013-06-20	104	7202	7.0	743559607	School never looked this scary.	Dan Scanlon,	Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Peter Sohn,Joel Murray,Sean Hayes,Dave Foley,Charlie Day,Alfred Molina,Tyler Labine,Nathan Fillion,Aubrey Plaza,Bobby Moynihan,Noah Johnston,Julia Sweeney,Bonnie Hunt,John Krasinski,Bill Hader,Beth Behrs,Bob Peterson,John Ratzenberger,Lori Alan,Carlos Alazraqui,Jack Angel,Bob Bergen,Gregg Berger,Rodger Bumpass,Neil Campbell,Frank Oz,Ava Acres,Sherry Lynn,Phil Proctor,Paul Lazenby,Aramé Scott,Joseph John Schirle,Kristen Li,Davin Ransom,Raymond Ochoa,Calum John,Montse Hernandez,Mason Cook,Makenna Cowgill,Tyree Brown,Jack Bright,Isabella Acres,April Winchell,Colette Whitaker,Jim Ward,Marcia Wallace,David Theune,Tara Strong,Mindy Sterling,Joel Spence,Betsy Sodaro,Patrick Seitz,Dan Scanlon,Jan Rabson,Cristina Pucelli,Jeff Pidgeon,Dannah Feinglass Phirman,Donovan Patton,Bret 'Brook' Parker,Colleen O'Shaughnessey,Laraine Newman,David Neher,Pam Murphy,Matthew Mercer,Alec Medlock,Allan McLeod,Mickie McGowan,Tricia McAlpin,Mona Marshall,Jason Marsden,Danny Mann,Dawnn Lewis,Elissa Knight,John Kassir,Brandon Johnson,Jess Harnell,Mike Hanford,Daniel Gerson,Teresa Ganzel,Donald Fullilove,Andy Fischer-Price,Keith Ferguson,Bill Farmer,Paul Eiding,Greg Dykstra,John Cygan,Sean Conroy,Patrick Carlyle,Natalie Jane Dang,Gage Davenport,Ethan Louis Samuels DiSalvio,Faith Goblirsch,Brooke Klinger,Nikolas Michailidis,Marley Pearson,	Daniel Gerson,Robert L. Baird,Dan Scanlon,	Jean-Claude Kalache,Matt Aspbury,	Greg Snyder,	Randy Newman,	
62213	false	150000000	35,14,	Comedy,Fantasy,	tt1077368	Dark Shadows	en	Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.	14.561	8601,2691,3281,79,9228,174,80,	Tim Burton Productions,Infinitum Nihil,GK Films,Village Roadshow Pictures,Dan Curtis Productions,Warner Bros. Pictures,The Zanuck Company,	,US,GB,US,US,US,US,	2012-05-08	113	4874	5.9	245527149	Every Family Has Its Demons	Tim Burton,	Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Jackie Earle Haley,Jonny Lee Miller,Eva Green,Bella Heathcote,Chloë Grace Moretz,Gulliver McGrath,Ray Shirley,Christopher Lee,Alice Cooper,Ivan Kaye,Susanna Cappellaro,Raffey Cassidy,Alexia Osborne,William Hope,Glen Mexted,Josephine Butler,Shane Rimmer,Michael Shannon,Nigel Whitmey,Philip Bulcock,Sophie Kennedy Clark,Hannah Murray,Victoria Bewick,Charlotte Spencer,Lee Nicholas Harris,Harry Taylor,Sean Mahon,	Seth Grahame-Smith,	Bruno Delbonnel,	Chris Lebenzon,	Danny Elfman,	
62214	false	39000000	16,35,10751,	Animation,Comedy,Family,	tt1142977	Frankenweenie	en	When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked \	11.111	8601,	Tim Burton Productions,	,	2012-10-04	87	1979	6.8	35287788	The electrifying dog is back from beyond the grave	Tim Burton,	Charlie Tahan,Catherine O'Hara,Martin Short,Martin Landau,Atticus Shaffer,Winona Ryder,Robert Capron,James Hiroyuki Liao,Conchata Ferrell,Tom Kenny,Frank Welker,	John August,	Peter Sorg,	Chris Lebenzon,Mark Solomon,		
62215	false	7400000	18,878,	Drama,Science Fiction,	tt1527186	Melancholia	da	Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.	12.141	76,321,8288,7777,11239,8289,119,2801,94,	Zentropa Entertainments,Memfis Film,Zentropa International Sweden,Slot Machine,Liberator Productions,Zentropa International Köln,Danmarks Radio (DR),Film i Väst,ARTE France Cinéma,	DK,SE,SE,FR,FR,DE,DK,SE,FR,	2011-05-26	135	1971	7.2	15946321	Enjoy it while it lasts	Lars von Trier,	Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,Charlotte Rampling,John Hurt,Alexander Skarsgård,Stellan Skarsgård,Brady Corbet,Udo Kier,Jesper Christensen,Cameron Spurr,Deborah Fronko,James Cagnard,Katrine A. Sahlstrøm,	Lars von Trier,	Manuel Alberto Claro,	Molly Malene Stensgaard,		
62255	false	6500000	28,18,53,12,	Action,Drama,Thriller,Adventure,	tt1414378	Tracker	en	An ex-Boer war guerrilla in New Zealand is sent out to bring back a Maori accused of killing a British soldier. Gradually they grow to know and respect one another but a posse, led by the British Commanding officer is close behind and his sole intention is to see the Maori hang. Written by Filmfinders 1903. A guerilla fighter from the South African Boer war called Arjan (Winstone) takes on a manhunt for Maori seaman Kereama (Morrison), who is accused of murdering a British soldier. What follows is a cat and mouse pursuit through the varied landscape of NZ with both hunter and huntee testing their bushcraft and wits against that of the other. Written by Anonymous	2.567	668,7316,18083,	T.H.E. Films,Phoenix Wiley,Eden Films,	,,,	2010-05-20	102	32	6.6	0	Never Stop Running!	Ian Sharp,	Ray Winstone,Temuera Morrison,Andy Anderson,Gareth Reeves,Mark Mitchinson,Dan Musgrove,Tim McLachlan,Jed Brophy,Stephen Ure,		Harvey Harrison,	Sean Barton,		
62339	false	0	53,	Thriller,	tt1625134	De Eetclub	en	Karen (32) and Michel (36) move with their daughter to an exclusive residential area. She soon finds a new close circle of friends: the women of the Dinner Club, and their husbands. But when two of the Club members commit suicide under suspicious circumstances, Karen starts to have second thoughts about her new friends. She has to choose: will she reveal the truth and dish the dirt, or will she protect the interests of the Dinner Club?	3.582				2010-11-25	90	19	5.7	0		Robert Jan Westdijk,	Bracha van Doesburgh,Thom Hoffman,Halina Reijn,Mark van Eeuwen,Angela Schijf,Bas Keijzer,Birgit Schuurman,Peter Paul Muller,Mattijn Hartemink,Irma Hartog,Romana Vrede,Peter Blankenstein,					
62439	false	0	35,18,	Comedy,Drama,	tt1848926	헬로우 고스트	ko	A man's failed suicide attempt enables him to see ghosts, who later keep following him everywhere. It is now up to him to fulfill their wishes to make them go away.	2.711	94914,20064,	Water in Tree Pictures,Next Entertainment World,	KR,KR,	2010-12-23	111	44	7.5	0		Kim Yeong-tak,	Lee Moon-Su,Bo-geun Cheon,Cha Tae-Hyun,Kang Ye-won,Jang Young-nam,Goo Seung-hyun,Ko Chang-seok,Jeong Gyu-su,	Kim Yeong-tak,			Kim Jun-seok,	
62441	false	0	18,36,	Drama,History,	tt1777034	United	en	United is based on the true story of Manchester United's legendary \	8.097	9987,10532,	Lipsync Productions,World Productions,	GB,GB,	2011-01-02	90	79	7.1	0	The true story of how the world's most popular team rose from the ashes	James Strong,	David Tennant,Jack O'Connell,Sam Claflin,Dougray Scott,Dean Andrews,Kate Ashfield,David Calder,Neil Dudgeon,Melanie Hill,Philip Hill-Pearson,Thomas Howes,Ben Peel,Brogan West,Kyle Ward,Tim Healy,Bill Fellows,			Billy Sneddon,	Clint Mansell,	
62564	false	3100000	18,35,	Drama,Comedy,	tt1650407	Få meg på, for faen	no	In Skoddeheimen, Norway, 15-year-old Alma is consumed by her hormones and fantasies that range from sweetly romantic images of Artur, the boyfriend she yearns for, to daydreams about practically everybody she lays eyes on.	9.735	2783,	Motlys,	NO,	2011-08-19	76	99	6.3	0		Jannicke Systad Jacobsen,	Helene Bergsholm,Malin Bjørhovde,Beate Støfring,Matias Myren,Lars Nordtvedt Listau,Henriette Steenstrup,Jon Bleiklie Devik,Julia Bache-Wiig,Julia Schacht,Arthur Berning,Per Kjerstad,Ronny Brede Aase,		Marianne Bakke,	Zaklina Stojcevska,	Ginge Anvik,	
62580	false	0	18,10749,	Drama,Romance,	tt1473063	La Fille du puisatier	fr	It's the beginning of the WWII. South of France. Patricia, 18, is the oldest daughter of a well-digger, Pascal, who considers her a princess because of her moral qualities. She's kind, devoted. One day, she briefly meets a young man, Jacques, the son of Mazel, owner of the shop where her father buy his material. He's handsome and teasing. Her father's friend, Felipe, would love to marry her, and he invites her to an aviation show. She accepts his invitation only because she knows Jacques is a pilot and will be there. Soon, she'll carry his child, and he'll be gone, and the family will have to deal with this out-of-wedlock pregnancy...	5.143	12393,6301,7981,8620,8907,11798,12394,20347,20349,26337,104,356,	Cinémage 5,CinéCinéma,Pathé!,A.S. Films,Banque Postale Image 4,Région Provence-Alpes-Côte d'Azur,Cofimage 22,Banque Populaire Images 11,Uni Étoile 8,Zack Films,Canal+,TF1 Films Production,	FR,,FR,,,,,,,,FR,FR,	2011-04-19	107	117	6.8	0		Daniel Auteuil,	Daniel Auteuil,Kad Merad,Sabine Azéma,Jean-Pierre Darroussin,Nicolas Duvauchelle,Astrid Bergès-Frisbey,Jean-Louis Barcelona,Émilie Cazenave,		Jean-François Robin,	Joëlle Hache,		
